video_id,comments
KgTFXgKWXts,[]
5Do1MEQAiGY,[]
6SytO1sw6TM,[]
8W_9I4J2vPk,[]
igMG8FtEiLE,[]
5oeznEwOKw8,[]
I-TmTQhqB4g,[]
GLO2CVo2A-U,[]
mjzVLbNfkDc,[]
2Sj_QPVNjGU,[]
wMvRkd5gwEk,[]
tG7amFMS5IY,[]
ZWLpqtaMAzo,[]
1q6omB8EKME,[]
F5vezZKvRhg,[]
NrlaTi2EF98,[]
1kSbH_8FLR4,[]
MnGRuDKZ26k,[]
3JlxDt7tZMc,[]
WzbXhU7R1XM,[]
AFZTC_tn1JU,[]
CAblt_jszMw,[]
S0eVNzl4w80,[]
Es0hNO2nEe4,[]
iULje0pXzgk,[]
uz9dyO5TKJE,[]
gqfuOBM3V18,[]
ABqSfRmm6-s,[]
vZQCGD4yzuc,[]
JX4V6DA-5wg,[]
nj1lFFP85EU,[]
G027nyhPFGQ,[]
n81niva7_h8,[]
0viOCkLIdsM,[]
LA3Fk8RfFlg,[]
BzWi0dv5ZqU,[]
LVbNWYD9Jxo,[]
iEZkR5HAVfU,[]
9980TWVtuvU,[]
X-oW329xfKU,[]
IKtHfZtK4U8,[]
RipY-5NQtmQ,[]
DCjsWQdxuvY,[]
pILE0CNy_PE,[]
ZTxQY0I_4WQ,[]
dyT0zQfxguA,[]
HV1S-hIkyh0,[]
qAvgXMMvK0w,[]
p5eDsTiLmvQ,[]
FvAWsVV8pcU,[]
Muoyo5j9d2E,[]
SXxohk2xg8c,[]
2qspVktpt_o,[]
PLX0SortDpg,[]
90vOi2B5WmU,[]
h6HATkXzB_I,[]
e9gUkQWkPUg,[]
RAjo0oJ9TSU,[]
ZAvAbX9NJdU,[]
dAJh2gGGCYw,[]
3ovLs-LdMjQ,[]
vMDYqD6r7EA,[]
WFuHchdMxIw,[]
VNmpqzAOiJo,[]
RisYY2_yQh0,[]
zJVEAscqZsc,[]
CBvCw_Ju36c,[]
5uUNrCQy534,[]
B8OMFxxvf_w,[]
akSTRC59KlU,[]
Czpwu-AtslE,[]
gXQKVu36sAo,[]
7XJG6MLCcbg,[]
zN9Gmj1GdBw,[]
6adDxnruUX4,[]
1diPx5gcgi8,[]
SV7xpNsk_LQ,[]
YY70ILi2e4g,[]
EUcS_PHpRm0,[]
HGPVu1Y7CXA,[]
OTzfYVdTcxs,[]
FsDJQg8xJJw,[]
TnqQurXW02I,[]
f2t6jIVteiI,[]
6MwnA_kBMDI,[]
FdN7Coz-xIc,[]
-BTSWPIpVgo,[]
2ZO_7ytUxRg,[]
VVA57_unANM,[]
567r10zWTrs,[]
LtfAx1QdAfk,[]
bGJACPE9l9A,[]
6tHKaNLCh8c,[]
h8wS29syPlg,[]
_r9GtQaULqw,[]
ibfYN1cWqCc,[]
133BC7f7mro,[]
TQSiy4zjrTo,[]
I50nyTLlOLc,[]
OAz2pW9-ghQ,[]
s5ZH-N9ObZc,[]
kahlJbeDACk,[]
3_oWLq7YmpY,[]
mMlaMtJ0ROU,[]
7_K7TGwc4ZE,[]
_RKf34Cc_Q4,[]
JGw6dALS-HU,[]
2EVL83TbwOM,[]
fovAI0ZA1LI,[]
ZHJq4AQgNFw,[]
cMziBFoetpU,[]
edd4UwpK2IU,[]
AVi03U3eulc,[]
manP-uZFOoA,[]
by-jEbzEG4k,[]
TK2r_R0FWPo,[]
qVVF1zaqRQY,[]
vhliNCIcTDI,[]
glS_SvnSVJ8,[]
YnVSLNyYTUQ,[]
lyx6NI17TKM,[]
_UkHF63jNa0,[]
bwk1j5MZ6_4,[]
Focgm48fLyk,[]
m6-ymBsdXeo,[]
F23RzuL6JwM,[]
H576MW6ZUvg,[]
1Nf9zuMJRrw,[]
ep9H8YmH5pA,[]
2L_9Qx082YA,[]
VnHiRb5PbLU,[]
z21jf9D-_Zc,[]
B5xzgLexoGE,[]
uG6abgYjgKo,[]
HF1Ps7UDNCQ,[]
waW5ZusOBlI,[]
D-d0R2KBaXg,[]
4lXV40oskFs,[]
786gzAB4_SY,[]
8Cy31nC6ey8,[]
Xk-70MccLoY,[]
zniIaCNPgPY,[]
kw1WCbppNDg,[]
CR66hqV1H-8,[]
-EYMwYZnuDg,[]
BOgKtndCFPQ,[]
uT4RqlMcMW8,[]
fj67tCMF_gY,[]
QnAGcBc7hlI,[]
