,channel_title,channel_desc,channel_loc,channel_pub_date,channel_view,channel_sub,channel_video,channel_playlistId
0,Peak Performer,,DE,2007-05-14T19:54:54Z,301092,1550,488,UUEaf-PDONb_nhyNRmVw9_nA
1,OneMindDogs,"OneMind Dogs is a dog and agility training methodology based on dogs' natural behaviour. When you understand your dog's point of view, you will make more clean runs.

Learn to communicate non-verbal cues correctly, all dogs around the world understand the message. Any dog, from anywhere in the world, will instantly understand OneMind Dogs. For them, it simply makes sense.",FI,2012-08-14T16:25:29Z,998671,6410,370,UUMF2E-huI3T7meqJBU-olZg
2,Zak George’s Dog Training Revolution,"This is the official YouTube channel of me, dog trainer Zak George! :)
In order to get the most out of my videos, I recommend that your order my book here: http://www.DogTrainingRevolution.com Thank you!

If you want me to definitely see and answer your dog training question go here: http://www.patreon.com/zakgeorge 

For Additional videos and interaction, join me on facebook: http://www.facebook.com/TheZakGeorge (also you'll have access to my ""secret videos"" on my Facebook page!)


Thank you for subscribing!

Like me on Facebook: http://www.facebook.com/TheZakGeorge

Follow me on Twitter: http://www.twitter.com/zakgeorge

Business emails only:
zakgeorge@me.com



Thank you.",US,2006-09-05T12:18:21Z,273329389,3570000,553,UUZzFRKsgVMhGTxffpzgTJlQ
3,Royvon Dog Training and Hotels,"Offering quality and professional pet services since 1959, Royvon Dog Hotels and Training is considered a UK industry leader in all aspects of dog behaviour training. This channel will help you further understand the services we provide for our customers and guests. 
From time to time, we also share some information on how owners can continue their training at home. We provide a good comparison of how our guests were before they entered Royvon dog training school and how they vastly improved after their stay with us. We would also like to emphasize that as shown in our videos, your dog buddies are treated with utmost love and care, even when they are undergoing a training course.

If you are interested in our boarding and training services, please let us know by completing the contact form on our website. You may also call us or drop by for a visit in any of our locations in Surrey, Coventry, and Merthyr Tydfil.",GB,2014-04-11T14:48:31Z,3300277,12800,741,UULL9mXGZIRLcSpZiLBxRT0Q
4,Fanny Gott,Clicker training videos,,2007-06-25T11:57:39Z,1467515,7140,413,UUqw_HGVtWKcd-owWODwcQsg
5,Iwona Golab,🌎Agility Worldwide Coach 🏆World Championship Medalist 🥇Agility National Champion & Vice & II Vice Champion 🐶 Animal Physio 🥏DiscDog European Winner,,2011-10-24T11:26:02Z,210847,1440,251,UUxXnIktVdXrSFCE8u1D-26w
6,Dogs That,"Our DogsThat YouTube Channel is brought to you by Susan Garrett and her Team. Leading educators of owners of family pet dogs, dog sport competitors and dog trainers. Susan was one of the very first dog trainers to share knowledge online. Susan has helped hundreds of thousands of people enjoy a great relationship with their dogs through her workshops and keynote speaking around the world, award winning books, DVDs, magazine articles, blog posts, podcasts, free dog training and dog agility video series, and online dog training programs. 

Susan is world-renowned for her innovative game-based positive reinforcement training that is grounded in the science of animal behaviour. A life long learner, Susan has been at the cutting edge of online education development since 2008 with her popular classroom Recallers. We are planning even more sharing, education and fun here on our Dogs That YouTube page!",CA,2019-06-03T19:59:45Z,2176465,44400,296,UUC17PDLl8y1dP2BRV5vuseg
7,Saro Dog Training,"Gain control over your dog using a simple reward-based method instead of using treats or aversive tools or methods. 
I help and coach busy dog owners to gain confidence and gain control over their dogs both indoors and outdoors so they can have fun and enjoy their lives together. My goal is to help dog owners to become educated dog lovers. And now, I am bringing my experience of over 15 years of training and educating dog owners online and on YouTube. 
Make sure to subscribe to the channel and hit the bell icon to get notified when I upload a new video or go live.",CA,2013-07-29T22:56:42Z,4385848,60900,559,UUqiW2BB9Aed5ITI__nTLPFQ
8,absoluteDogs,"This is the official YouTube channel of Tom and Lauren of absoluteDogs
and the home of transforming your dog owning struggle through quick, simple GAMES!

Wondering where to start? 

Head to: www.absolutedogs.me/start
to get your FREE dog training starter guide, access to the free podcast library and to stay updated!

For additional videos, learning and to stay up-to-date, join our Facebook community at: http://www.facebook.com/absolutedogs

In order to get the most out of our videos and to help you dive into the absoluteDogs world, we recommend that you grab a copy of our Dog Training Games Recipe Book
here: 

https://absolute-dogs.com/products/theres-a-game-for-that-recipe-book
(We include an audiobook and bonus chapters with every copy!)

Thank you for subscribing!",GB,2019-09-23T13:57:03Z,1028049,47700,237,UUrz5NqpcLxpiy1Wm_ksEV3g
9,The Canine Coach Dog Training,,,2018-05-01T17:48:50Z,670441,20700,48,UUsthsKj5MJ7zPvOtncW8_6w
