video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption,viewCount,likeCount,favoriteCount,commentCount
YOaTYVydeH4,Jenny Damm,"Training a Tamas Traj course at Torvalla Arena 220428 - Zonia, Azta & Ziv",,,2022-05-01T05:22:37Z,PT5M59S,hd,false,1247,22,0,0
pFHvzNWqetU,Jenny Damm,Azta's four winning runs + final at Gåsahoppet 2022 Sunday,,,2022-04-26T15:11:04Z,PT3M9S,hd,false,1302,27,0,1
5F5s9EsSaIs,Jenny Damm,Jocke course - Training with Azta & Mailiz,,,2022-03-30T10:28:18Z,PT4M26S,hd,false,557,23,0,1
duX57XPjJJg,Jenny Damm,Mailiz trying my new course   Lotushallen 210315,,,2022-03-16T07:01:08Z,PT1M50S,hd,false,588,15,0,0
1YRoVzPLwpM,Jenny Damm,"Lisa and My - RC training - soft turns, 220309",,,2022-03-10T22:17:25Z,PT3M24S,hd,false,419,14,0,3
GihhF8Ox6NQ,Jenny Damm,Ukraine,,,2022-03-06T20:35:34Z,PT2M15S,hd,false,489,6,0,2
2t8cIwwn0Dw,Jenny Damm,Ziv training,"Lotushallen orange course 
February 16, 2022",,2022-02-16T22:11:49Z,PT2M10S,hd,false,642,13,0,0
Sif_U36DN8k,Jenny Damm,JENNY bows   HD 1080p,Info about JENNY bows,,2022-01-15T08:44:55Z,PT2M14S,hd,false,901,16,0,0
BgK05NNjWFk,Jenny Damm,Lotus Education wishes Happy X mas 2021,"Jingle Bells av Kevin MacLeod, Creative Commons Attribution 4.0. https://creativecommons.org/licenses/by/4.0/",,2021-12-20T11:48:22Z,PT2M56S,hd,false,390,21,0,3
gLPCBps6yOU,Jenny Damm,Jenny Damm Training Iwona courses with Azta and Mailiz 211127,,,2021-12-01T09:46:52Z,PT5M56S,hd,false,1166,33,0,1
Brv233ZdLGo,Jenny Damm,Lisa Torvalla double winner with My and Mailiz,,,2021-11-22T16:34:45Z,PT2M21S,hd,false,565,26,0,1
HFSTIIYoAsw,Jenny Damm,Away to me Miss Lilli SM guld 2016,Jenny Damm och Lilli SM guld 2016,,2021-09-06T10:28:57Z,PT1M50S,sd,false,441,10,0,0
Db7ZLjw0vsQ,Jenny Damm,Away to me Miss Lilli - Swedish Champions 2021,Jenny Damm and Miss Lilli - final run - GOLD,,2021-09-06T10:27:17Z,PT1M42S,sd,false,874,26,0,2
eDO6fPuqcMw,Jenny Damm,Jenny Damm & Miss Lilli August 2015,Den här videon handlar om Jenny Damm & Miss Lilli August 2015,['iMovie'],2021-08-26T08:54:55Z,PT2M38S,sd,false,275,4,0,1
uYdJBFQ6HXw,Jenny Damm,Ziv 1 - clips from her first months (new music),Let me present EmenEm's Ziv! This video is with music so even countries like Germany etc can watch :),['iMovie'],2021-08-26T08:52:59Z,PT5M52S,sd,false,298,10,0,2
qYuqGotfdzc,Jenny Damm,"Ziv's - training 1: Running contacts, crate games, brain games & distraction","(Version without music) This is Ziv's first training video! It shows some clips how we start our training for Running contacts, crate games, thinking games & distraction",['iMovie'],2021-08-26T08:52:52Z,PT5M15S,sd,false,361,13,0,
